StudyNo,AgeGroup,PrimeInstruction,ExperimentName,Subject,Procedure,Trial,Both,Neither,Phonological,Semantic,Prime,PrimeCondition,Question.RESP,State.RT,FreeResp,FreeResp.RT,Accuracy,FreeRespPrimeIntrusion,Target,MCCorrect,McResp,McAcc,McRT,a,b,c,d,e,McActualResp,WhichPrime,ToEliminate,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Word8,Word9,Word10,Word11,Word12,Word13,Word14,Word15,Word16,Word17,Word18,Word19,Word20,Word21,Word22
6,Old,NotThePrime,tot not the prime,701,ExpProc1,1,avoid,dove,absolve,refuse,ABSOLVE,P,2,0,0,1527,0,0,abstain,c,,0,0,refuse,dove,abstain,absolve,avoid,0,X,0,To,refrain,deliberately,and,often,with,an,effort,of,self-denial,from,an,action,or,practice,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,2,Norderstedt,image,neurosurgery,Berlin,NORDERSTEDT,B,2,6947,0,1060,0,0,Nuremberg,d,d,1,7385,Norderstedt,Berlin,image,Nuremberg,neurosurgery,Nuremberg,X,0,German,city,for,which,antisemitic,laws,were,named,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,3,hematoma,window,homeowner,contusion,HEMATOMA,B,4,5920,,0,0,0,hemorrhage,d,d,1,5430,hematoma,contusion,window,hemorrhage,homeowner,hemorrhage,X,0,The,escape,of,blood,from,"vessels,",including,internal,and,external,bleeding,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,4,Saigon,thigh,sofa,Tokyo,THIGH,U,1,4833,seoul,3272,1,0,Seoul,b,b,1,4168,sofa,Seoul,Saigon,thigh,Tokyo,Seoul,X,0,Capital,of,South,Korea,,,,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,5,Heinola,shop,handkerchief,Oslo,OSLO,R,1,7553,helsinki,3497,1,0,Helsinki,d,d,1,3366,Heinola,Oslo,shop,Helsinki,handkerchief,Helsinki,X,0,Capital,of,Finland,,,,,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,6,twitch,weak,tip,jerk,WEAK,U,1,4089,tic,1724,1,0,tic,a,a,1,2134,tic,tip,jerk,twitch,weak,tic,X,0,A,habitual,spastic,motion,of,particular,"muscles,",especially,in,the,face,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,7,Bangalore,cap,banister,Laos,BANISTER,P,4,8265,0,8529,0,0,Bangkok,b,b,1,2204,banister,Bangkok,Bangalore,cap,Laos,Bangkok,X,0,Capital,of,Thailand,,,,,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,8,frivolous,pawn,facilitate,sarcastic,SARCASTIC,R,1,4049,satire,2220,0,0,facetious,b,e,0,4888,facilitate,facetious,frivolous,pawn,sarcastic,sarcastic,R,1,Treating,serious,issues,with,deliberately,inappropiate,humor,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,9,bargain,light,bark,tariff,BARK,P,1,1147,barter,1475,1,0,barter,c,c,1,2284,tariff,light,barter,bark,bargain,barter,X,0,To,trade,by,exchanging,goods,for,other,goods,rather,than,money,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,10,Driscoll,chew,deed,Gable,GABLE,R,1,486,deen,2649,0,0,Dean,e,e,1,3308,chew,Driscoll,deed,Gable,Dean,Dean,X,0,Last,name,of,American,actor,known,for,his,role,in,Rebel,Without,A,Cause,,,,,,,,
