,value.AgeGroup,value.Subject,value.StudyNo,value.PrimeInstruction,value.totalitems,value.correctitems,value.wrongitems,value.targetacc,value.rtrials,value.ptrials,value.btrials,value.utrials,value.rcorrecttrials,value.pcorrecttrials,value.bcorrecttrials,value.ucorrecttrials,value.racc,value.pacc,value.bacc,value.uacc,value.rmcq,value.pmcq,value.bmcq,value.umcq,value.r_know,value.r_dontknow,value.r_other,value.r_TOT,value.p_know,value.p_dontknow,value.p_other,value.p_TOT,value.b_know,value.b_dontknow,value.b_other,value.b_TOT,value.u_know,value.u_dontknow,value.u_other,value.u_TOT,value.correct_r,value.correct_p,value.correct_b,value.correct_u,value.wrong_r,value.wrong_p,value.wrong_b,value.wrong_u,value.wrong_r_r,value.wrong_r_p,value.wrong_r_b,value.wrong_r_u,value.wrong_r_x,value.wrong_p_r,value.wrong_p_p,value.wrong_p_b,value.wrong_p_u,value.wrong_p_x,value.wrong_b_r,value.wrong_b_p,value.wrong_b_b,value.wrong_b_u,value.wrong_b_x,value.wrong_u_r,value.wrong_u_p,value.wrong_u_b,value.wrong_u_u,value.wrong_u_x,value.prop_r_r,value.prop_r_p,value.prop_r_b,value.prop_r_u,value.prop_r_x,value.prop_p_r,value.prop_p_p,value.prop_p_b,value.prop_p_u,value.prop_p_x,value.prop_b_r,value.prop_b_p,value.prop_b_b,value.prop_b_u,value.prop_b_x,value.prop_u_r,value.prop_u_p,value.prop_u_b,value.prop_u_u,value.prop_u_x,value.know,value.dontknow,value.other,value.TOT,visible
142,Young,9,1,NoInstruction,100,17,83,0.17,25,25,25,25,2,4,3,8,0.08,0.16,0.12,0.32,0.68,0.88,0.76,0.84,7,11,4,3,3,8,7,7,9,6,4,6,8,8,4,5,17,22,19,21,8,3,6,4,7,0,1,0,0,1,1,1,0,0,4,0,2,0,0,0,1,3,0,0,0.875,0,0.125,0,0,0.333333333,0.333333333,0.333333333,0,0,0.666666667,0,0.333333333,0,0,0,0.25,0.75,0,0,27,33,19,21,FALSE
143,Young,10,1,NoInstruction,100,29,71,0.29,25,25,25,25,7,11,8,3,0.28,0.44,0.32,0.12,0.76,0.68,0.68,0.76,15,1,0,9,19,0,1,5,18,1,1,5,15,1,1,8,19,17,17,19,6,8,8,6,5,0,1,0,0,2,0,6,0,0,1,0,7,0,0,2,1,3,0,0,0.833333333,0,0.166666667,0,0,0.25,0,0.75,0,0,0.125,0,0.875,0,0,0.333333333,0.166666667,0.5,0,0,67,3,3,27,FALSE
144,Young,11,1,NoInstruction,100,9,91,0.09,25,25,25,25,3,1,2,3,0.12,0.04,0.08,0.12,0.52,0.52,0.48,0.52,9,5,5,6,3,6,9,7,4,8,6,7,3,8,8,6,13,13,12,13,12,12,13,12,6,0,6,0,0,6,3,3,0,0,6,0,7,0,0,9,0,3,0,0,0.5,0,0.5,0,0,0.5,0.25,0.25,0,0,0.461538462,0,0.538461538,0,0,0.75,0,0.25,0,0,19,27,28,26,FALSE
145,Young,12,1,NoInstruction,100,19,81,0.19,25,25,25,25,3,2,10,4,0.12,0.08,0.4,0.16,0.52,0.64,0.56,0.64,8,9,3,5,6,9,4,6,16,3,4,2,6,9,3,7,13,16,14,16,12,9,11,9,8,1,3,0,0,6,0,3,0,0,6,0,5,0,0,5,0,4,0,0,0.666666667,0.083333333,0.25,0,0,0.666666667,0,0.333333333,0,0,0.545454545,0,0.454545455,0,0,0.555555556,0,0.444444444,0,0,36,30,14,20,FALSE
146,Young,13,1,NoInstruction,100,28,72,0.28,25,25,25,25,3,13,4,8,0.12,0.52,0.16,0.32,0.4,0.92,0.72,0.76,14,5,0,6,13,5,0,7,12,5,2,6,15,3,0,7,10,23,18,19,15,2,7,6,13,0,2,0,0,2,0,0,0,0,4,0,3,0,0,2,0,3,1,0,0.866666667,0,0.133333333,0,0,1,0,0,0,0,0.571428571,0,0.428571429,0,0,0.333333333,0,0.5,0.166666667,0,54,18,2,26,FALSE
147,Young,14,1,NoInstruction,100,12,88,0.12,25,25,25,25,3,8,1,0,0.12,0.32,0.04,0,0.68,0.52,0.44,0.56,4,11,2,8,8,9,4,4,2,15,2,6,1,12,5,7,17,13,11,14,8,12,14,11,5,0,3,0,0,6,1,5,0,0,7,0,7,0,0,8,0,2,0,0,0.625,0,0.375,0,0,0.5,0.083333333,0.416666667,0,0,0.5,0,0.5,0,0,0.727272727,0,0.181818182,0,0,15,47,13,25,FALSE
148,Young,15,1,NoInstruction,100,26,74,0.26,25,25,25,25,10,4,9,3,0.4,0.16,0.36,0.12,0.48,0.76,0.68,0.72,16,7,2,0,13,4,7,1,16,7,0,2,6,10,7,2,12,19,17,18,13,6,8,7,8,0,5,0,0,4,0,2,0,0,3,0,5,0,0,1,0,6,0,0,0.615384615,0,0.384615385,0,0,0.666666667,0,0.333333333,0,0,0.375,0,0.625,0,0,0.142857143,0,0.857142857,0,0,51,28,16,5,FALSE
149,Young,16,1,NoInstruction,100,20,80,0.2,25,25,25,25,3,7,6,4,0.12,0.28,0.24,0.16,0.6,0.72,0.52,0.64,14,6,1,4,12,6,0,7,11,10,1,3,5,11,3,6,15,18,13,16,10,7,12,9,8,0,2,0,0,5,1,1,0,0,3,0,9,0,0,4,2,3,0,0,0.8,0,0.2,0,0,0.714285714,0.142857143,0.142857143,0,0,0.25,0,0.75,0,0,0.444444444,0.222222222,0.333333333,0,0,42,33,5,20,FALSE
150,Young,17,1,NoInstruction,100,16,84,0.16,25,25,25,25,2,8,0,6,0.08,0.32,0,0.24,0.44,0.8,0.56,0.56,1,10,6,8,8,4,4,9,8,3,7,7,6,6,5,8,11,20,14,14,14,5,11,11,6,0,8,0,0,4,0,1,0,0,7,0,4,0,0,6,0,4,1,0,0.428571429,0,0.571428571,0,0,0.8,0,0.2,0,0,0.636363636,0,0.363636364,0,0,0.545454545,0,0.363636364,0.090909091,0,23,23,22,32,FALSE
151,Young,18,1,NoInstruction,100,24,77,0.24,25,25,25,25,7,10,5,2,0.28,0.4,0.2,0.08,0.68,0.68,0.64,0.76,9,14,1,1,12,8,3,2,3,14,4,4,4,16,2,3,17,17,16,19,8,8,9,6,5,0,3,0,0,2,1,4,1,0,5,1,3,0,0,3,1,2,0,0,0.625,0,0.375,0,0,0.25,0.125,0.5,0.125,0,0.555555556,0.111111111,0.333333333,0,0,0.5,0.166666667,0.333333333,0,0,28,52,10,10,FALSE
