TargetNo,Procedure,PrimeType,Rating,Target
1,Meaning,Both,3.285714286,abacus
1,Meaning,Phonological,1.952380952,abacus
1,Meaning,Semantic,4.523809524,abacus
1,Sound,Both,2.894736842,abacus
1,Sound,Phonological,5.368421053,abacus
1,Sound,Semantic,1.473684211,abacus
2,Meaning,Both,5.19047619,abdicate
2,Meaning,Phonological,1.428571429,abdicate
2,Meaning,Semantic,5.19047619,abdicate
2,Sound,Both,4.210526316,abdicate
2,Sound,Phonological,5.368421053,abdicate
2,Sound,Semantic,1.368421053,abdicate
3,Meaning,Both,5.952380952,abstain
3,Meaning,Phonological,3.047619048,abstain
3,Meaning,Semantic,5.476190476,abstain
3,Sound,Both,3.157894737,abstain
3,Sound,Phonological,5.157894737,abstain
3,Sound,Semantic,1.526315789,abstain
4,Meaning,Both,4.523809524,accolade
4,Meaning,Phonological,2.095238095,accolade
4,Meaning,Semantic,3.666666667,accolade
4,Sound,Both,3.473684211,accolade
4,Sound,Phonological,5.368421053,accolade
4,Sound,Semantic,1.473684211,accolade
5,Meaning,Both,3.523809524,advocate
5,Meaning,Phonological,1.761904762,advocate
5,Meaning,Semantic,4.19047619,advocate
5,Sound,Both,4.368421053,advocate
5,Sound,Phonological,4.210526316,advocate
5,Sound,Semantic,1.421052632,advocate
6,Meaning,Both,4.333333333,Alcott
6,Meaning,Phonological,1.571428571,Alcott
6,Meaning,Semantic,4.238095238,Alcott
6,Sound,Both,3.684210526,Alcott
6,Sound,Phonological,4.421052632,Alcott
6,Sound,Semantic,1.631578947,Alcott
7,Meaning,Both,6.476190476,allocation
7,Meaning,Phonological,1.523809524,allocation
7,Meaning,Semantic,6.523809524,allocation
7,Sound,Both,4.684210526,allocation
7,Sound,Phonological,5.052631579,allocation
7,Sound,Semantic,2.157894737,allocation
8,Meaning,Both,3.714285714,anachronism
8,Meaning,Phonological,1.857142857,anachronism
8,Meaning,Semantic,3.19047619,anachronism
8,Sound,Both,3.789473684,anachronism
8,Sound,Phonological,4.210526316,anachronism
8,Sound,Semantic,1.421052632,anachronism
9,Meaning,Both,4.142857143,anagram
9,Meaning,Phonological,3.238095238,anagram
9,Meaning,Semantic,6.19047619,anagram
9,Sound,Both,4.947368421,anagram
9,Sound,Phonological,4.842105263,anagram
9,Sound,Semantic,1.421052632,anagram
10,Meaning,Both,5.714285714,Andes
10,Meaning,Phonological,1.047619048,Andes
10,Meaning,Semantic,5.761904762,Andes
10,Sound,Both,3.157894737,Andes
10,Sound,Phonological,3.578947368,Andes
10,Sound,Semantic,1.842105263,Andes
11,Meaning,Both,4.523809524,auspicious
11,Meaning,Phonological,2.714285714,auspicious
11,Meaning,Semantic,4.428571429,auspicious
11,Sound,Both,3.315789474,auspicious
